celex_id;doc_id;term_count;actual_count;Comment
32016R1952;51;1;4;"Attributed definitions are not having term ""means"""
32020R2156;18;1;1;
32016R1055;55;1;1;
32019R0424;41;1;16;Have 16, but due to grouping the terms in 1 and 2 points then are presented in only 1
32022R2299;8;2;2;
32021R0101;16;2;2;
32023R0736;4;2;2;
32022R2577;6;2;2;
32017D0684;95;4;4;
32015L0652;96;5;5;
32020R1001;21;5;5;
32019R2017;30;5;5;
32021R0100;17;5;5;
32009R0641;88;5;5;
32008R1099;91;6;6;
32011R0626;83;6;6;
32014R1254;64;6;6;
32009R0663;87;6;6;
32012R0206;81;6;6;
32014R1253;65;7;7;
32022R1369;10;7;7;
32023R1184;1;7;7;
32010D0787;99;7;7;
32021R2003;14;8;8;
32009R0107;89;8;8;
32008R1275;90;8;8;
32019R2022;25;9;9;
32015R0703;62;9;9;
32022R2578;5;9;9;
32009L0126;100;9;9;
32016R1719;52;10;10;
32019R2014;33;10;10;
32019R0807;40;10;10;
32016R1447;53;10;10;
32013R0347;76;11;11;
32010R0617;85;11;11;
32009L0119;102;12;12;
32011R1227;82;12;12;
32014R1348;63;12;12;
32012R0547;78;13;13;
32021Q0618(02);93;13;13;
32017R2196;43;13;13;
32022R0342;13;13;13;
32014R0548;66;14;14;
32019R2023;24;15;15;
32023R0826;3;15;15;
32022R2576;7;16;16;
32013R0812;72;17;17;
32015R1189;58;18;18;
32023R1162;2;18;18;
32019R1784;35;18;18;
32011R0327;84;18;18;
32013R0814;70;18;18;
32012R0932;77;18;18;
32022R0869;12;19;19;
32020R2155;19;19;19;
32019R1782;36;19;19;
32010L0031;98;20;20;
32013R0666;74;20;20;
32012R0392;79;20;20;
32020R1294;20;20;20;
32016R2281;50;20;20;
32014R0312;67;21;21;
32022R1854;9;21;21;
32019R2021;26;21;21;
32019R0941;39;22;22;
32019R2013;34;22;22;
32016R1388;54;22;22;
32013R0813;71;23;23;
32013R0811;73;23;23;
32015R1185;60;23;23;
32019R2018;29;24;24;
32019R2015;32;24;24;
32019R1781;37;24;24;
32015R1095;61;24;24;
32017R0459;49;25;25;
32014R0065;69;25;25;
32017R0460;48;25;25;
32005R0302;92;25;25;
32017R1938;45;26;26;
32020R0740;22;26;26;
32019R2020;27;27;27;
32009R0715;86;27;27;
32017R1369;47;27;27;
32009L0125;101;27;27;
32022R0996;11;28;28;
32019R2024;23;28;28;
32014R0066;68;30;30;
32013R0543;75;31;31;
32015R1188;59;31;31;
32019R2016;31;38;38;
32019R2019;28;43;43;
32017R2195;44;45;45;
32015R1222;57;46;46;
32012L0027;97;47;47;
32019L0944;94;59;59;
32018R1999;42;64;64;
32019R0943;38;73;73;
32016R0631;56;76;76;
32017R1485;46;169;169;